policy,fraction,cumulative_gain,centered_qini,unit,sample_scope
t_learner,0.7799996496359968,0.0009564558742089335,8.958085204723183e-05,incremental_conversions_per_test_row,held_out_test
t_learner,0.7899996818122829,0.0009564558742089335,7.846702895964299e-05,incremental_conversions_per_test_row,held_out_test
t_learner,0.7999997139885688,0.0009568764792547596,6.77738109178804e-05,incremental_conversions_per_test_row,held_out_test
t_learner,0.8099997461648548,0.0009572970843005859,5.7080592876118034e-05,incremental_conversions_per_test_row,held_out_test
t_learner,0.8199997783411408,0.0009577176893464122,4.638737483435556e-05,incremental_conversions_per_test_row,held_out_test
t_learner,0.8299998105174269,0.0009577176893464122,3.527355174676671e-05,incremental_conversions_per_test_row,held_out_test
t_learner,0.8399998426937129,0.0009537920422520334,2.0234081564799345e-05,incremental_conversions_per_test_row,held_out_test
t_learner,0.8499998748699988,0.0009542126472978597,9.540863523036869e-06,incremental_conversions_per_test_row,held_out_test
t_learner,0.8599999070462848,0.0009550538573895121,-7.317494728994491e-07,incremental_conversions_per_test_row,held_out_test
t_learner,0.8699999392225709,0.0009563156725269908,-1.0583757423009502e-05,incremental_conversions_per_test_row,held_out_test
t_learner,0.8799999713988569,0.0009575774876644695,-2.0435765373119446e-05,incremental_conversions_per_test_row,held_out_test
t_learner,0.8899996460608539,0.000958418697756122,-3.070798103527834e-05,incremental_conversions_per_test_row,held_out_test
t_learner,0.8999996782371399,0.0009568764792547589,-4.3364022624230126e-05,incremental_conversions_per_test_row,held_out_test
t_learner,0.909999710413426,0.0009572970843005851,-5.405724066599271e-05,incremental_conversions_per_test_row,held_out_test
t_learner,0.919999742589712,0.0009598207145755425,-6.264743347862397e-05,incremental_conversions_per_test_row,held_out_test
t_learner,0.9299997747659979,0.0009544930506617424,-7.90889204800129e-05,incremental_conversions_per_test_row,held_out_test
t_learner,0.9399998069422839,0.0009556146641172786,-8.90811301120654e-05,incremental_conversions_per_test_row,held_out_test
t_learner,0.94999983911857,0.0009498663951576523,-0.0001059432221592805,incremental_conversions_per_test_row,held_out_test
t_learner,0.959999871294856,0.0009563156725269876,-0.00011060776787753389,incremental_conversions_per_test_row,held_out_test
t_learner,0.969999903471142,0.0009579980927102916,-0.00012003917078181865,incremental_conversions_per_test_row,held_out_test
t_learner,0.9799999356474279,0.0009665503953087565,-0.00012260069127094245,incremental_conversions_per_test_row,held_out_test
t_learner,0.989999967823714,0.00097986955509325,-0.0001203953545740378,incremental_conversions_per_test_row,held_out_test
t_learner,1.0,0.0011113787327548764,0.0,incremental_conversions_per_test_row,held_out_test
dr_learner,0.0,0.0,0.0,incremental_conversions_per_test_row,held_out_test
